168.234.75.2, 2017-03-11 19:43:12, GET, /default/download/magazine.image_file.906bc0cd22e8bbb4.53696e67756c617269646164207465636e6f6c6f676963612e706e67.png, HTTP/1.1, 404, 1.369881
168.234.75.2, 2017-03-11 19:43:13, GET, /default/download/magazine.image_file.a8fc1b46edfcdd0b.496e67656e696572696120436f6d6f20756e206d6564696f2e706e67.png, HTTP/1.1, 404, 1.767951
168.234.75.2, 2017-03-11 19:43:13, GET, /cpfecys/admin/GetPeriodosVariables, HTTP/1.1, 200, 1.346122
168.234.75.2, 2017-03-11 19:43:18, GET, /cpfecys/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000649
168.234.75.2, 2017-03-11 19:43:19, GET, /cpfecys/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000676
168.234.75.2, 2017-03-11 19:43:20, GET, /user/login, HTTP/1.1, 200, 0.382551
168.234.75.2, 2017-03-11 19:43:20, GET, /user/login, HTTP/1.1, 200, 0.689223
168.234.75.2, 2017-03-11 19:43:21, GET, /cpfecys/admin/GetPeriodosSemestre, HTTP/1.1, 200, 0.495141
168.234.75.2, 2017-03-11 19:43:21, GET, /cpfecys/admin/GetPeriodosVariables, HTTP/1.1, 200, 0.383007
168.234.75.2, 2017-03-11 19:43:37, POST, /user/login, HTTP/1.1, 303, 0.418578
168.234.75.2, 2017-03-11 19:43:39, GET, /, HTTP/1.1, 200, 1.183305
168.234.75.2, 2017-03-11 19:43:40, GET, /default/download/front_notification.image_file.b59e4dd5d9f8a04f.526576697374614469676974616c45637973323031362e6a7067.jpg, HTTP/1.1, 404, 1.083340
168.234.75.2, 2017-03-11 19:43:40, GET, /cpfecys/static/images/home-images/dep-y.png, HTTP/1.1, 404, 0.000735
168.234.75.2, 2017-03-11 19:43:41, GET, /default/download/magazine.image_file.a14643879ec4ac07.592074756920706f72717565206e6f207465206861732063616d626961646f20646520636172726572612e706e67.png, HTTP/1.1, 404, 1.918730
168.234.75.2, 2017-03-11 19:43:42, GET, /default/download/magazine.image_file.ba1908d74088daaa.496e64757374726961204469676974616c2e706e67.png, HTTP/1.1, 404, 2.850222
168.234.75.2, 2017-03-11 19:43:43, GET, /default/download/magazine.image_file.a8fc1b46edfcdd0b.496e67656e696572696120436f6d6f20756e206d6564696f2e706e67.png, HTTP/1.1, 404, 3.669308
168.234.75.2, 2017-03-11 19:43:44, GET, /default/download/magazine.image_file.906bc0cd22e8bbb4.53696e67756c617269646164207465636e6f6c6f676963612e706e67.png, HTTP/1.1, 404, 4.600747
168.234.75.2, 2017-03-11 19:43:45, GET, /cpfecys/admin/GetPeriodosSemestre, HTTP/1.1, 200, 5.518526
168.234.75.2, 2017-03-11 19:43:47, GET, /cpfecys/admin/GetPeriodosVariables, HTTP/1.1, 200, 1.116040
168.234.75.2, 2017-03-11 19:43:49, GET, /user/profile, HTTP/1.1, 200, 1.338942
168.234.75.2, 2017-03-11 19:43:50, GET, /user/profile, HTTP/1.1, 200, 2.778529
168.234.75.2, 2017-03-11 19:43:52, GET, /cpfecys/admin/GetPeriodosSemestre, HTTP/1.1, 200, 0.998232
168.234.75.2, 2017-03-11 19:43:53, GET, /cpfecys/admin/GetPeriodosVariables, HTTP/1.1, 200, 1.011148
168.234.75.2, 2017-03-11 19:43:55, GET, /activity_control/courses_list, HTTP/1.1, 200, 2.244103
168.234.75.2, 2017-03-11 19:43:55, GET, /cpfecys/static/images/academic_control/seo47.png, HTTP/1.1, 200, 0.000865
